A Sporting Chance for Special Populations,HEALTH
A Sporting Chance for Special Populations,TRANSPORTATION
A.O. Treatment Services,HEALTH
A.O. Treatment Services,TRANSPORTATION
AARP Smart Driver Course (formerly AARP Safe Driving Program),TRANSPORTATION
Abilities First,HEALTH
Across The Life Span (ATLS),EMPLOYMENT
Adoption for Families and Family Therapy of the Ozarks,HEALTH
Adoption Triad of the Ozarks,EDUCATION
Adoption Triad of the Ozarks,HEALTH
Air and Military Museum of the Ozarks,EDUCATION
Al-Anon Family Groups,HEALTH
Alcoholics Anonymous (AA),HEALTH
"Alpha Delta Kappa, Psi Chapter",EDUCATION
ALS Association Mid-America Chapter,EDUCATION
ALS Association Mid-America Chapter,HEALTH
"Alzheimer's Disease and Related Disorders, Greater Missouri Chapter",EDUCATION
Ambassadors for Children,CLOTHING
Ambassadors for Children,EMPLOYMENT
Ambassadors for Children,HEALTH
Ambassadors for Children,SPIRITUAL
Ambassadors for Children,TRANSPORTATION
American Advertising Federation (AAF) of the Ozarks,EDUCATION
American Association of University Women (AAUW),EDUCATION
"American Cancer Society, Southwest Missouri Office",HEALTH
American Civil Liberties Union of Kansas (ACLU),EDUCATION
American Civil Liberties Union of Kansas (ACLU),HEALTH
"American Contract Bridge League, Southwest Missouri Unit 101",EDUCATION
American Diabetes Association - Missouri Chapter,EDUCATION
American Diabetes Association - Missouri Chapter,HEALTH
American Heart Association,EDUCATION
American Heart Association,HEALTH
American Indian Council Employment and Training,EMPLOYMENT
"American Legion Post 1214, Women Veterans of Southwest Missouri",EMPLOYMENT
American Lung Association in Missouri,EDUCATION
"American Red Cross, Southern Missouri",HEALTH
America's Wildlife Museum & Aquarium (formerly Wonders of Wildlife),HOMELESS
Animal Abuse Council,HEALTH
Animal Abuse Council,LEGAL
Animal Abuse Council,TRANSPORTATION
"APO (formerly AIDS Project of the Ozarks, Inc.)",EDUCATION
"APO (formerly AIDS Project of the Ozarks, Inc.)",HEALTH
Ashley House (formerly Regional Girls Shelter),HEALTH
Ashley House (formerly Regional Girls Shelter),HOMELESS
Ashley House (formerly Regional Girls Shelter),LEGAL
Ashley House (formerly Regional Girls Shelter),TRANSPORTATION
Ashley House Auxiliary (formerly Regional Girls Shelter Auxiliary),HEALTH
Ashley House Auxiliary (formerly Regional Girls Shelter Auxiliary),HOMELESS
Ashley House Auxiliary (formerly Regional Girls Shelter Auxiliary),TRANSPORTATION
Assisting Consumers Through Technology (ACTT),EMPLOYMENT
Association for the Blind,HEALTH
"Association of Fundraising Professionals, Ozarks Region",EDUCATION
"Association of Information Technology Professionals, Southwest Missouri Chapter",EDUCATION
"Association of Information Technology Professionals, Southwest Missouri Chapter",EMPLOYMENT
"Association of Professionals in Infection Control and Epidemiology, Inc.",HEALTH
AYUSA Global Youth Exchange,EDUCATION
AYUSA Global Youth Exchange,HOMELESS
Beekeepers Association of the Ozarks,EDUCATION
"Better Business Bureau of Southwest Missouri, Inc.",TRANSPORTATION
Bill's Place -- Burrell Behavioral Health Homeless Services,HEALTH
Bill's Place -- Burrell Behavioral Health Homeless Services,HOMELESS
Boys & Girls Clubs of Springfield Partners in Education (formerly Auxiliary),EDUCATION
"Boys & Girls Clubs of Springfield, Inc.",EDUCATION
"Brain Injury Association of America, Springfield, Missouri, Chapter",EDUCATION
"Brain Injury Association of America, Springfield, Missouri, Chapter",HEALTH
Brain Injury Support Group,HEALTH
Breaking Traditions,EDUCATION
Breast Cancer Foundation of the Ozarks,EDUCATION
Breast Cancer Foundation of the Ozarks,HEALTH
Burrell Behavioral Health,EDUCATION
Burrell Behavioral Health,HEALTH
Buttonhole Babes Appliqué Group,EDUCATION
C.A.R.E. Animal Rescue ,EMPLOYMENT
C.A.R.E. Animal Rescue ,HEALTH
C.A.R.E. Animal Rescue ,HOMELESS
C.A.R.E. Animal Rescue ,TRANSPORTATION
Camp Barnabas,HEALTH
Cancer Research for the Ozarks (CRO),EMPLOYMENT
Cancer Research for the Ozarks (CRO),HEALTH
Care to Learn,EDUCATION
Care to Learn,FOOD
Care to Learn,HEALTH
CASA of Southwest Missouri,HEALTH
CASA of Southwest Missouri,LEGAL
CASA of Southwest Missouri,TRANSPORTATION
"Catholic Charities of Southern Missouri, Inc.",HEALTH
"Catholic Charities of Southern Missouri, Inc.",HOMELESS
Center City Counseling Clinic,HEALTH
Center for Dispute Resolution,EDUCATION
Center for Dispute Resolution,EMPLOYMENT
Champion Athletes of the Ozarks,EDUCATION
Champion Athletes of the Ozarks,EMPLOYMENT
Champion Athletes of the Ozarks,HEALTH
CHANCES of Stone County,HEALTH
Chase Educational Foundation,TRANSPORTATION
"Cherry Court Garden Club, FGCM",HEALTH
"Child Advocacy Center, Inc.",HEALTH
"Child Advocacy Center, Inc.",TRANSPORTATION
Child Care Food Program,FOOD
Child Care Food Program,SPIRITUAL
"Child Evangelism Fellowship of Missouri, Inc., Springfield Chapter",SPIRITUAL
Children's Choirs of Southwest Missouri,EDUCATION
Children's Miracle Network of CoxHealth,HEALTH
Children's Smile Center,HEALTH
Christian County Family Crisis Center (aka Freedom's Rest),HEALTH
Christian County Family Crisis Center (aka Freedom's Rest),HOMELESS
Christian County Retired School Personnel,EDUCATION
Christian Health and Rehab,HEALTH
City of Springfield: Air Quality Section,HEALTH
City of Springfield: Animal Shelter,HOMELESS
City of Springfield: Crime Prevention/Safety Education,EDUCATION
City of Springfield: Crime Prevention/Safety Education,TRANSPORTATION
City of Springfield: Department of Environmental Services,HEALTH
City of Springfield: Department of Environmental Services,TRANSPORTATION
City of Springfield: Finance Department,TRANSPORTATION
City of Springfield: Fire Department,HEALTH
City of Springfield: Fire Department,HOMELESS
City of Springfield: Household Chemical Collection Center,EDUCATION
City of Springfield: Household Chemical Collection Center,HOMELESS
City of Springfield: Land Clearance for Redevelopment Authority,HOMELESS
City of Springfield: Mayor's Commission for Children,EDUCATION
City of Springfield: Mayor's Commission on Human Rights and Community Relations,HOMELESS
City of Springfield: Municipal Court,TRANSPORTATION
City of Springfield: Solid Waste Management Division,EDUCATION
City of Springfield: Solid Waste Management Division,HEALTH
City of Springfield: Solid Waste Management Division,HOMELESS
City of Springfield: Stormwater Quality Division,EDUCATION
City of Springfield: Stormwater Quality Division,HEALTH
City of Springfield: Sustainability Division,EDUCATION
City of Springfield: Sustainability Division,FOOD
City of Springfield: Sustainability Division,HEALTH
City of Springfield: Sustainability Division,TRANSPORTATION
City Utilities,TRANSPORTATION
City Utilities: Access Express,TRANSPORTATION
City Utilities: Transit Services,TRANSPORTATION
Code 3 Sertoma Club,EDUCATION
Code 3 Sertoma Club,HEALTH
Community Alternative Sentencing Program (CASP),LEGAL
Community Blood Center of the Ozarks--Don Thomson Donor Center (CBCO),HEALTH
"Community Foundation of the Ozarks, Inc.",EMPLOYMENT
Connections Handyman Service,SPIRITUAL
Connie Morris Golf Learning Center,HEALTH
Constellation Club of Springfield,EDUCATION
"Consumer Credit Counseling Service of Springfield, Missouri, Inc. (CCCS)",EDUCATION
"Consumer Credit Counseling Service of Springfield, Missouri, Inc. (CCCS)",EMPLOYMENT
"Consumer Credit Counseling Service of Springfield, Missouri, Inc. (CCCS)",HEALTH
"Consumer Credit Counseling Service of Springfield, Missouri, Inc. (CCCS)",HOMELESS
"Consumer Credit Counseling Service of Springfield, Missouri, Inc. (CCCS)",LEGAL
Convoy of Hope,FOOD
Convoy of Hope,TRANSPORTATION
Cooper Estates Property Owners Association,HEALTH
Cornerstone Homeschool Co-Op,HOMELESS
Council of Churches of the Ozarks,EMPLOYMENT
Council of Churches of the Ozarks,HEALTH
Cox College,EDUCATION
Cox College,HEALTH
CoxHealth,HEALTH
CoxHealth Breast Care Clinic,HEALTH
CoxHealth Caregivers Support Group,HEALTH
CoxHealth Center For Addictions,HEALTH
CoxHealth Center For Addictions,TRANSPORTATION
CoxHealth Cox Diabetes Center,EDUCATION
"CoxHealth Cox Medical Explorers, Post 229",HEALTH
CoxHealth Cox Senior Advantage,TRANSPORTATION
CoxHealth Family Medical Care Center,HEALTH
CoxHealth Grief Support Group,HEALTH
CoxHealth Hulston Cancer Center -- Allenbrand Resource and Image Center,HEALTH
CoxHealth Patient and Caregivers Support Group,HEALTH
CoxHealth Reach Together,HEALTH
CoxHealth Rehabilitation Therapy North,HEALTH
CoxHealth Volunteer Services Department,HEALTH
CoxHealth Women's Center,FOOD
CoxHealth Women's Center,HEALTH
Crosslines,CLOTHING
Crosslines,EMPLOYMENT
Crosslines,FOOD
Crosslines,HEALTH
Crosslines,SPIRITUAL
"Daughters of the American Revolution, Isaac Garrison Chapter",EDUCATION
"Daughters of the American Revolution, Rachel Donelson Chapter",EDUCATION
Daybreak Adult Day Care,HEALTH
Daybreak Adult Day Care,SPIRITUAL
Deaf Awareness Group of Southwest Missouri (DAG),EDUCATION
Developmental Center of the Ozarks (DCO),EDUCATION
Developmental Center of the Ozarks (DCO),HEALTH
Diaper Bank of the Ozarks,EDUCATION
Dickerson Park Zoo,EDUCATION
"Disabled American Veterans and Auxiliary, Orlan E. Smith Memorial Chapter 11",HEALTH
"Disabled American Veterans and Auxiliary, Orlan E. Smith Memorial Chapter 11",TRANSPORTATION
"Discovery Center of Springfield, Inc.",EDUCATION
Down Syndrome Group of the Ozarks,EDUCATION
Drew Lewis Foundation at the Fairbanks,EDUCATION
Drew Lewis Foundation at the Fairbanks,EMPLOYMENT
Drew Lewis Foundation at the Fairbanks,HEALTH
Drury University Music Department,EDUCATION
Drury University Theatre,EDUCATION
EasyRiders Equestrian Drill Team,EDUCATION
EasyRiders Equestrian Drill Team,HEALTH
Edge Community Technology Center,EDUCATION
Eldercare Transit Service,HEALTH
Eldercare Transit Service,TRANSPORTATION
Elks Lodge #409,EDUCATION
Elks Lodge #409,FOOD
Elks Lodge #409,HEALTH
Equi-Librium Therapy Center,EDUCATION
Equi-Librium Therapy Center,HEALTH
Evangel University,EDUCATION
Evangel University: Artist Series,EDUCATION
Evangel University: Music Department,EDUCATION
Exceptional Business Men In Nixa (X-MIN),TRANSPORTATION
Executive Women's Club,EDUCATION
"Experience Works, Inc.",EMPLOYMENT
"Experience Works, Inc.",HEALTH
Fair Grove Historical and Preservation Society,HEALTH
Fair Haven Children's Home,HEALTH
Fair Haven Children's Home,TRANSPORTATION
Farmers Market of the Ozarks,FOOD
First Steps (System Point of Entry) (SPOE),HEALTH
"Fleet Reserve Association, Branch 316",EDUCATION
"Fordland Clinic, Inc.",HEALTH
Foundation for Springfield Public Schools ,EDUCATION
Franciscan Villa,FOOD
Friends Against Hunger,FOOD
Friends of the Garden,EDUCATION
Friends of the Garden,HEALTH
Friends of the Zoo,FOOD
Friends of the Zoo,HOMELESS
Gillioz Theatre,HEALTH
Girls on the Run of Southwest Missouri,EDUCATION
Girls on the Run of Southwest Missouri,HEALTH
Glenwood Village Women's Club,HEALTH
Good Samaritan Boys Ranch,HOMELESS
Good Samaritan Boys Ranch,TRANSPORTATION
Good Samaritan Boys Ranch: Footsteps Transitional Living for Boys,HOMELESS
Good Samaritan Boys Ranch: Footsteps Transitional Living for Boys,TRANSPORTATION
"Good Samaritan Boys Ranch: Laura's Home, Transitional Living for Girls",HEALTH
"Good Samaritan Boys Ranch: Laura's Home, Transitional Living for Girls",HOMELESS
"Good Samaritan Boys Ranch: Laura's Home, Transitional Living for Girls",TRANSPORTATION
Grand Oak Mission,CLOTHING
Grand Oak Mission,FOOD
Grant Beach Neighborhood Association,EMPLOYMENT
Grant Beach Neighborhood Association,FOOD
Great Circle (formerly Boys and Girls Town of Missouri),HEALTH
Greater Ozarks Pachyderms,EDUCATION
Greater Ozarks Pachyderms,TRANSPORTATION
Greater Springfield Apartment and Housing Association,HOMELESS
Greater Springfield Dental Hygienists' Association,HEALTH
Greene County Democratic Central Committee Headquarters,HEALTH
Greene County Historical Society,EDUCATION
Greene County Medical Society (GCMS),HEALTH
Greene County Medical Society (GCMS),TRANSPORTATION
Greene County Medical Society Alliance (GCMSA),EDUCATION
Greene County Medical Society Alliance (GCMSA),HEALTH
Greene County Republican Women (GCRW),EDUCATION
Greene County SALT Council (Seniors and Law Enforcement Together),HEALTH
Greene County: Circuit Clerk,LEGAL
Greene County: Circuit Clerk,TRANSPORTATION
Greene County: Commission,TRANSPORTATION
Greene County: Juvenile Justice Center,LEGAL
Greene County: Medical Examiner's Office,LEGAL
Greene County: Probate Court,HEALTH
Greene County: Public Administrator,HEALTH
Greene County: Resource Management,HEALTH
Greene Valley State School,EDUCATION
Greene Valley State School,TRANSPORTATION
Greyhound Pets of America,HOMELESS
GYN Cancers Alliance,EDUCATION
GYN Cancers Alliance,HEALTH
H.I.T. No More,EDUCATION
H.I.T. No More,HEALTH
H.O.P.E. Foundation,HEALTH
"Habitat for Humanity of Springfield, Missouri, Inc.",HEALTH
"Habitat for Humanity of Springfield, Missouri, Inc.",HOMELESS
Hammons Heart Institute: Cardiopulmonary Rehabilitation,EDUCATION
Hammons Heart Institute: Cardiopulmonary Rehabilitation,HEALTH
Hand in Hand Multicultural Center,HEALTH
Hand in Hand Multicultural Center,LANGUAGE
Harmony House,HOMELESS
"Haven of the Ozarks, Inc.",EDUCATION
"Haven of the Ozarks, Inc.",HEALTH
Heart of the Ozarks and Hand Extended Outreach Pantry,FOOD
Heart of the Ozarks and Hand Extended Outreach Pantry,HEALTH
Heart of the Ozarks and Hand Extended Outreach Pantry,TRANSPORTATION
Heart2Heart Outreach Ministries,EDUCATION
Heart2Heart Outreach Ministries,EMPLOYMENT
Heart2Heart Outreach Ministries,HEALTH
Heart2Heart Outreach Ministries,SPIRITUAL
Heartland Paranormal Research Organization,LEGAL
Heartland Paranormal Research Organization,TRANSPORTATION
Higher Ground Recovery Center,HEALTH
Higher Ground Recovery Center,TRANSPORTATION
HOLA Sertoma Club,EDUCATION
HOLA Sertoma Club,HEALTH
Holos University Graduate Seminary,HEALTH
Holos University Graduate Seminary,SPIRITUAL
Home Economists in Homemaking (HEIH),EMPLOYMENT
Home Schoolers' Academy,EDUCATION
Home Schoolers' Academy,HEALTH
Homebuilders Association of Greater Springfield,HOMELESS
HOPE Foundation,HEALTH
Horton Smith Ladies Golf Association,FOOD
Hospice Compassus,HEALTH
Hospice Compassus,SPIRITUAL
"Housing Authority of the City of Springfield, Missouri (HAS)",HEALTH
"Housing Authority of the City of Springfield, Missouri (HAS)",HOMELESS
Humane Society of Southwest Missouri,HOMELESS
ICON,HEALTH
"International Association of Administrative Professionals, Springfield Metro Chapter (IAAP)",EDUCATION
"Isabel's House (Crisis Nursery of the Ozarks, Inc.)",HEALTH
"Isabel's House (Crisis Nursery of the Ozarks, Inc.)",HOMELESS
"Isabel's House (Crisis Nursery of the Ozarks, Inc.)",TRANSPORTATION
"Jericho Commission, Inc.",LEGAL
Job Corps,EDUCATION
Job Corps,HOMELESS
Jordan Valley Community Health Center -- Dental,EMPLOYMENT
Jordan Valley Community Health Center -- Dental,HEALTH
Jordan Valley Community Health Center--Medical,HEALTH
Jordan Valley Innovation Center,HOMELESS
Junior Achievement of Southwest Missouri,EMPLOYMENT
Kansas Audio-Reader Network,HEALTH
Kindred Spirits Pet Therapy,HEALTH
Kiwanis Club of Ozark Empire,EDUCATION
"Kiwanis Club of Ozark, Missouri",TRANSPORTATION
"Kiwanis Club of Republic, Missouri",TRANSPORTATION
Kiwanis Club of Springfield North,TRANSPORTATION
Korean-American Association of Springfield,HEALTH
La Leche League of Springfield,FOOD
La Leche League of Springfield,HEALTH
Lacemakers of the Ozarks,EDUCATION
"Lake Country Soccer, Inc.",HEALTH
Lakeland Behavioral Health System,HEALTH
Lakeland Behavioral Health System,HOMELESS
Lakeland Behavioral Health System,TRANSPORTATION
"Leadership Springfield, Inc.",EDUCATION
League of Women Voters of Southwest Missouri,EDUCATION
League of Women Voters of Southwest Missouri,EMPLOYMENT
League of Women Voters of Southwest Missouri,HEALTH
"Least of These, Inc.",CLOTHING
"Least of These, Inc.",FOOD
"Least of These, Inc.",HOMELESS
Legal Services of Southern Missouri,EDUCATION
Legal Services of Southern Missouri,EMPLOYMENT
Legal Services of Southern Missouri,HEALTH
Legal Services of Southern Missouri,HOMELESS
Leukemia and Lymphoma Society,HEALTH
LifeHouse Crisis Maternity Home,EDUCATION
LifeHouse Crisis Maternity Home,FOOD
LifeHouse Crisis Maternity Home,HEALTH
LifeHouse Crisis Maternity Home,HOMELESS
Locust Prairie Extension Club,EDUCATION
Locust Prairie Extension Club,HEALTH
Locust Prairie Extension Club,HOMELESS
Long-Term Care Ombudsman,EMPLOYMENT
Long-Term Care Ombudsman,HOMELESS
Long-Term Care Ombudsman,SPIRITUAL
Lutheran Family and Children's Services of Missouri (LFCS),HEALTH
M.E.N.D. SW Missouri Chapter (Mommies Enduring Neonatal Death),HEALTH
Make-A-Wish Foundation of Missouri,HEALTH
March of Dimes,EMPLOYMENT
March of Dimes,HEALTH
Meals On Wheels,FOOD
"Mercy Breast Center -- ""Chub"" O'Reilly Cancer Center",HEALTH
Mercy Cancer Resource Center,EDUCATION
Mercy Cancer Resource Center,HEALTH
Mercy Cancer Resource Center,SPIRITUAL
Mercy Clinic Behavioral Health - Lark,HEALTH
Mercy Family Resource Center,HEALTH
Mercy Hospital Auxiliary,HEALTH
Mercy Hospital Springfield,HEALTH
"Mercy Hospital Springfield's Medical Explorer, Post 339",HEALTH
Mercy Injury Prevention Center,EDUCATION
Mercy Injury Prevention Center,TRANSPORTATION
Mercy Marian Center,HEALTH
Mercy Parkinson's Support Group,EDUCATION
Mercy Regional Arthritis Center,HEALTH
Mercy Seniors,HEALTH
Mercy Sports Medicine -- S. Fremont,EDUCATION
Mercy Sports Medicine -- S. Fremont,HEALTH
Mercy Stroke Center - Springfield,EDUCATION
Mercy Stroke Center - Springfield,HEALTH
Mercy Stroke Support Group,EDUCATION
Mercy Van K. Smith Community Library,HEALTH
Mercy Villa,HEALTH
Mercy Women's Heart Center,FOOD
Mercy Women's Heart Center,HEALTH
"Mercy's C.H. ""Chub"" O'Reilly Cancer Center Sharing the Journey Cancer Support Group",HEALTH
Mercy-Springfield Corporate Health and Wellness,HEALTH
Mercy-Springfield Corporate Health and Wellness,TRANSPORTATION
MERS Goodwill Industries Thrift Store,EMPLOYMENT
MERS Goodwill Industries Thrift Store,HEALTH
"MERS/Missouri Goodwill Industries, Inc.",EMPLOYMENT
Metro Housing LLC,HOMELESS
Mid-America Transplant Services,EDUCATION
Midwest Foster Care & Adoption Association SWMO,CLOTHING
Midwest Foster Care & Adoption Association SWMO,FOOD
Midwest Foster Care & Adoption Association SWMO,HEALTH
Midwest Foster Care & Adoption Association SWMO,TRANSPORTATION
"Missouri Bandmasters Association, Inc.",EDUCATION
Missouri Career Center,EMPLOYMENT
Missouri Career Center,EMPLOYMENT
Missouri Career Center,TRANSPORTATION
Missouri Council of the Blind,EDUCATION
Missouri Council of the Blind,EMPLOYMENT
Missouri Council of the Blind New Image Thrift Store,CLOTHING
Missouri Deaf-Blind Association,EDUCATION
Missouri Deaf-Blind Association,HEALTH
Missouri Deaf-Blind Association,LANGUAGE
Missouri Enterprise,TRANSPORTATION
Missouri Folklore Society,LANGUAGE
Missouri Health Care for All,HEALTH
"Missouri National Education Association, Springfield Chapter (NEA)",EDUCATION
Missouri Parents Act (MPACT),EDUCATION
"Missouri Society of Accountants, Heart of the Ozarks Chapter",EDUCATION
"Missouri Society of Professional Engineers, Ozark Chapter",HEALTH
Missouri State University Dames,EDUCATION
Missouri State University: Missouri Mentoring Partnership,EDUCATION
Missouri State University: Missouri Mentoring Partnership,EMPLOYMENT
Missouri State University: Missouri Mentoring Partnership,HEALTH
Missouri State University: Missouri Mentoring Partnership,TRANSPORTATION
Missouri State University: Project ACCESS,EDUCATION
Missouri State University: Project ACCESS,HEALTH
Missouri State University: Small Business & Technology Development Center,TRANSPORTATION
Missouri State University: Southwest Missouri Area Health Education Center,EMPLOYMENT
Missouri State University: Southwest Missouri Area Health Education Center,HEALTH
Missourians for Alternatives to the Death Penalty (MADP),EMPLOYMENT
Missourians for Alternatives to the Death Penalty (MADP),SPIRITUAL
Mommies Enduring Neonatal Death (M.E.N.D.) - Southwest Missouri,HEALTH
"Mothers Against Drunk Driving (MADD), Ozark Mountain Chapter",TRANSPORTATION
